Product_id,date,opening_stock,Units Sold,clossing_stock,restock_quantity,store_id
P0001,01-01-22,195,102,93,252,S001
P0002,01-01-22,117,117,0,249,S001
P0003,01-01-22,247,114,133,612,S001
P0004,01-01-22,139,45,94,102,S001
P0005,01-01-22,152,65,87,271,S001
P0006,01-01-22,209,60,149,0,S001
P0007,01-01-22,118,81,37,335,S001
P0008,01-01-22,244,42,202,0,S001
P0009,01-01-22,115,88,27,139,S001
P0010,01-01-22,192,70,122,300,S001
P0011,01-01-22,215,51,164,142,S001
P0012,01-01-22,289,121,168,215,S001
P0013,01-01-22,279,113,166,0,S001
P0014,01-01-22,252,121,131,479,S001
P0015,01-01-22,119,55,64,74,S001
P0016,01-01-22,103,78,25,372,S001
P0017,01-01-22,128,59,69,0,S001
P0018,01-01-22,281,78,203,0,S001
P0019,01-01-22,281,61,220,0,S001
P0020,01-01-22,266,36,230,0,S001
P0001,01-01-22,102,102,0,331,S002
P0002,01-01-22,193,119,74,192,S002
P0003,01-01-22,187,167,20,596,S002
P0004,01-01-22,160,111,49,339,S002
P0005,01-01-22,155,103,52,334,S002
P0006,01-01-22,198,79,119,0,S002
P0007,01-01-22,233,89,144,226,S002
P0008,01-01-22,124,124,0,99,S002
P0009,01-01-22,131,131,0,260,S002
P0010,01-01-22,242,118,124,194,S002
P0011,01-01-22,206,49,157,191,S002
P0012,01-01-22,197,78,119,413,S002
P0013,01-01-22,152,93,59,331,S002
P0014,01-01-22,153,69,84,289,S002
P0015,01-01-22,106,70,36,457,S002
P0016,01-01-22,113,113,0,323,S002
P0017,01-01-22,153,72,81,196,S002
P0018,01-01-22,126,69,57,86,S002
P0019,01-01-22,164,82,82,391,S002
P0020,01-01-22,126,43,83,132,S002
P0001,01-01-22,182,109,73,193,S003
P0002,01-01-22,290,56,234,236,S003
P0003,01-01-22,122,122,0,127,S003
P0004,01-01-22,203,122,81,518,S003
P0005,01-01-22,253,40,213,212,S003
P0006,01-01-22,227,106,121,0,S003
P0007,01-01-22,247,123,124,552,S003
P0008,01-01-22,297,61,236,0,S003
P0009,01-01-22,226,96,130,0,S003
P0010,01-01-22,167,70,97,127,S003
P0011,01-01-22,159,157,2,293,S003
P0012,01-01-22,126,58,68,131,S003
P0013,01-01-22,105,105,0,743,S003
P0014,01-01-22,271,27,244,0,S003
P0015,01-01-22,166,131,35,500,S003
P0016,01-01-22,292,80,212,0,S003
P0017,01-01-22,204,53,151,380,S003
P0018,01-01-22,289,56,233,316,S003
P0019,01-01-22,201,109,92,0,S003
P0020,01-01-22,250,41,209,270,S003
P0001,01-01-22,215,85,130,287,S004
P0002,01-01-22,283,67,216,0,S004
P0003,01-01-22,161,92,69,407,S004
P0004,01-01-22,168,88,80,252,S004
P0005,01-01-22,289,197,92,0,S004
P0006,01-01-22,206,48,158,162,S004
P0007,01-01-22,185,43,142,253,S004
P0008,01-01-22,281,59,222,0,S004
P0009,01-01-22,206,106,100,299,S004
P0010,01-01-22,223,120,103,597,S004
P0011,01-01-22,195,60,135,293,S004
P0012,01-01-22,111,111,0,113,S004
P0013,01-01-22,136,104,32,385,S004
P0014,01-01-22,110,52,58,122,S004
P0015,01-01-22,249,42,207,0,S004
P0016,01-01-22,155,74,81,218,S004
P0017,01-01-22,232,65,167,0,S004
P0018,01-01-22,165,64,101,0,S004
P0019,01-01-22,146,125,21,103,S004
P0020,01-01-22,290,52,238,0,S004
P0001,01-01-22,182,75,107,198,S005
P0002,01-01-22,131,131,0,474,S005
P0003,01-01-22,247,145,102,0,S005
P0004,01-01-22,195,143,52,114,S005
P0005,01-01-22,187,126,61,344,S005
P0006,01-01-22,280,59,221,300,S005
P0007,01-01-22,297,74,223,0,S005
P0008,01-01-22,229,165,64,0,S005
P0009,01-01-22,270,59,211,268,S005
P0010,01-01-22,132,132,0,436,S005
P0011,01-01-22,220,17,203,0,S005
P0012,01-01-22,230,71,159,371,S005
P0013,01-01-22,145,82,63,328,S005
P0014,01-01-22,193,63,130,219,S005
P0015,01-01-22,132,108,24,203,S005
P0016,01-01-22,131,59,72,191,S005
P0017,01-01-22,159,89,70,73,S005
P0018,01-01-22,245,68,177,0,S005
P0019,01-01-22,202,42,160,0,S005
P0020,01-01-22,131,79,52,105,S005
P0001,02-01-22,93,71,22,0,S001
P0002,02-01-22,249,116,133,0,S001
P0003,02-01-22,133,130,3,0,S001
P0004,02-01-22,94,82,12,183,S001
P0005,02-01-22,87,87,0,487,S001
P0006,02-01-22,149,77,72,172,S001
P0007,02-01-22,37,37,0,497,S001
P0008,02-01-22,202,37,165,0,S001
P0009,02-01-22,166,133,33,107,S001
P0010,02-01-22,122,105,17,498,S001
P0011,02-01-22,164,152,12,264,S001
P0012,02-01-22,168,168,0,397,S001
P0013,02-01-22,166,73,93,90,S001
P0014,02-01-22,131,81,50,0,S001
P0015,02-01-22,138,117,21,109,S001
P0016,02-01-22,25,25,0,0,S001
P0017,02-01-22,69,33,36,50,S001
P0018,02-01-22,203,172,31,155,S001
P0019,02-01-22,220,35,185,0,S001
P0020,02-01-22,230,93,137,432,S001
P0001,02-01-22,0,0,0,350,S002
P0002,02-01-22,74,61,13,0,S002
P0003,02-01-22,20,20,0,0,S002
P0004,02-01-22,49,40,9,0,S002
P0005,02-01-22,52,52,0,412,S002
P0006,02-01-22,119,116,3,137,S002
P0007,02-01-22,144,95,49,0,S002
P0008,02-01-22,99,99,0,153,S002
P0009,02-01-22,0,0,0,263,S002
P0010,02-01-22,318,179,139,0,S002
P0011,02-01-22,157,135,22,474,S002
P0012,02-01-22,119,75,44,511,S002
P0013,02-01-22,59,45,14,0,S002
P0014,02-01-22,84,84,0,564,S002
P0015,02-01-22,36,36,0,604,S002
P0016,02-01-22,0,0,0,260,S002
P0017,02-01-22,81,63,18,323,S002
P0018,02-01-22,143,74,69,87,S002
P0019,02-01-22,82,66,16,439,S002
P0020,02-01-22,83,77,6,214,S002
P0001,02-01-22,73,73,0,0,S003
P0002,02-01-22,234,175,59,548,S003
P0003,02-01-22,127,125,2,160,S003
P0004,02-01-22,81,39,42,0,S003
P0005,02-01-22,213,59,154,0,S003
P0006,02-01-22,121,70,51,96,S003
P0007,02-01-22,124,124,0,0,S003
P0008,02-01-22,236,121,115,306,S003
P0009,02-01-22,130,78,52,86,S003
P0010,02-01-22,224,92,132,0,S003
P0011,02-01-22,2,2,0,386,S003
P0012,02-01-22,68,62,6,224,S003
P0013,02-01-22,0,0,0,0,S003
P0014,02-01-22,244,52,192,0,S003
P0015,02-01-22,35,35,0,622,S003
P0016,02-01-22,212,126,86,289,S003
P0017,02-01-22,151,37,114,0,S003
P0018,02-01-22,233,65,168,0,S003
P0019,02-01-22,92,92,0,95,S003
P0020,02-01-22,209,60,149,0,S003
P0001,02-01-22,130,130,0,734,S004
P0002,02-01-22,216,121,95,225,S004
P0003,02-01-22,69,69,0,0,S004
P0004,02-01-22,80,20,60,0,S004
P0005,02-01-22,92,92,0,152,S004
P0006,02-01-22,158,149,9,268,S004
P0007,02-01-22,142,142,0,563,S004
P0008,02-01-22,222,28,194,0,S004
P0009,02-01-22,100,100,0,494,S004
P0010,02-01-22,103,103,0,0,S004
P0011,02-01-22,135,130,5,688,S004
P0012,02-01-22,113,90,23,71,S004
P0013,02-01-22,32,32,0,501,S004
P0014,02-01-22,58,58,0,185,S004
P0015,02-01-22,207,72,135,200,S004
P0016,02-01-22,81,67,14,0,S004
P0017,02-01-22,167,99,68,149,S004
P0018,02-01-22,101,94,7,104,S004
P0019,02-01-22,124,124,0,162,S004
P0020,02-01-22,238,56,182,0,S004
P0001,02-01-22,107,81,26,0,S005
P0002,02-01-22,0,0,0,0,S005
P0003,02-01-22,102,87,15,109,S005
P0004,02-01-22,166,77,89,109,S005
P0005,02-01-22,61,61,0,0,S005
P0006,02-01-22,221,122,99,540,S005
P0007,02-01-22,223,3,220,0,S005
P0008,02-01-22,64,64,0,103,S005
P0009,02-01-22,211,80,131,0,S005
P0010,02-01-22,0,0,0,629,S005
P0011,02-01-22,203,51,152,260,S005
P0012,02-01-22,159,117,42,439,S005
P0013,02-01-22,63,63,0,319,S005
P0014,02-01-22,130,47,83,0,S005
P0015,02-01-22,24,24,0,192,S005
P0016,02-01-22,72,72,0,209,S005
P0017,02-01-22,143,61,82,0,S005
P0018,02-01-22,177,177,0,239,S005
P0019,02-01-22,160,37,123,113,S005
P0020,02-01-22,157,56,101,0,S005
P0001,03-01-22,274,142,132,229,S001
P0002,03-01-22,133,92,41,118,S001
P0003,03-01-22,3,3,0,0,S001
P0004,03-01-22,114,55,59,0,S001
P0005,03-01-22,0,0,0,761,S001
P0006,03-01-22,72,72,0,281,S001
P0007,03-01-22,0,0,0,0,S001
P0008,03-01-22,165,56,109,0,S001
P0009,03-01-22,140,88,52,109,S001
P0010,03-01-22,17,17,0,0,S001
P0011,03-01-22,154,62,92,0,S001
P0012,03-01-22,215,165,50,0,S001
P0013,03-01-22,183,47,136,0,S001
P0014,03-01-22,50,50,0,0,S001
P0015,03-01-22,130,92,38,80,S001
P0016,03-01-22,0,0,0,553,S001
P0017,03-01-22,86,59,27,94,S001
P0018,03-01-22,186,134,52,115,S001
P0019,03-01-22,185,48,137,0,S001
P0020,03-01-22,137,85,52,0,S001
P0001,03-01-22,0,0,0,0,S002
P0002,03-01-22,205,64,141,166,S002
P0003,03-01-22,0,0,0,0,S002
P0004,03-01-22,9,9,0,0,S002
P0005,03-01-22,0,0,0,0,S002
P0006,03-01-22,140,140,0,172,S002
P0007,03-01-22,49,49,0,300,S002
P0008,03-01-22,153,126,27,155,S002
P0009,03-01-22,260,134,126,0,S002
P0010,03-01-22,139,116,23,107,S002
P0011,03-01-22,22,22,0,0,S002
P0012,03-01-22,44,44,0,0,S002
P0013,03-01-22,14,14,0,0,S002
P0014,03-01-22,0,0,0,0,S002
P0015,03-01-22,0,0,0,0,S002
P0016,03-01-22,323,113,210,0,S002
P0017,03-01-22,18,18,0,0,S002
P0018,03-01-22,156,96,60,121,S002
P0019,03-01-22,16,16,0,0,S002
P0020,03-01-22,6,6,0,0,S002
P0001,03-01-22,193,117,76,316,S003
P0002,03-01-22,59,59,0,0,S003
P0003,03-01-22,162,162,0,197,S003
P0004,03-01-22,42,42,0,0,S003
P0005,03-01-22,154,48,106,0,S003
P0006,03-01-22,147,27,120,0,S003
P0007,03-01-22,0,0,0,0,S003
P0008,03-01-22,115,114,1,0,S003
P0009,03-01-22,138,126,12,156,S003
P0010,03-01-22,132,127,5,173,S003
P0011,03-01-22,293,62,231,0,S003
P0012,03-01-22,137,137,0,306,S003
P0013,03-01-22,0,0,0,681,S003
P0014,03-01-22,192,64,128,244,S003
P0015,03-01-22,0,0,0,0,S003
P0016,03-01-22,86,86,0,0,S003
P0017,03-01-22,114,51,63,0,S003
P0018,03-01-22,168,43,125,0,S003
P0019,03-01-22,95,95,0,139,S003
P0020,03-01-22,149,149,0,753,S003
P0001,03-01-22,0,0,0,0,S004
P0002,03-01-22,95,75,20,0,S004
P0003,03-01-22,0,0,0,374,S004
P0004,03-01-22,60,54,6,229,S004
P0005,03-01-22,152,125,27,123,S004
P0006,03-01-22,171,92,79,0,S004
P0007,03-01-22,0,0,0,0,S004
P0008,03-01-22,194,86,108,0,S004
P0009,03-01-22,0,0,0,0,S004
P0010,03-01-22,0,0,0,0,S004
P0011,03-01-22,5,5,0,0,S004
P0012,03-01-22,94,94,0,163,S004
P0013,03-01-22,0,0,0,0,S004
P0014,03-01-22,122,61,61,0,S004
P0015,03-01-22,135,67,68,0,S004
P0016,03-01-22,14,14,0,365,S004
P0017,03-01-22,217,98,119,144,S004
P0018,03-01-22,111,111,0,133,S004
P0019,03-01-22,162,82,80,0,S004
P0020,03-01-22,182,71,111,204,S004
P0001,03-01-22,224,98,126,190,S005
P0002,03-01-22,0,0,0,0,S005
P0003,03-01-22,124,99,25,141,S005
P0004,03-01-22,198,48,150,0,S005
P0005,03-01-22,344,126,218,0,S005
P0006,03-01-22,99,99,0,0,S005
P0007,03-01-22,220,57,163,136,S005
P0008,03-01-22,103,38,65,58,S005
P0009,03-01-22,131,69,62,0,S005
P0010,03-01-22,0,0,0,0,S005
P0011,03-01-22,152,73,79,0,S005
P0012,03-01-22,42,42,0,0,S005
P0013,03-01-22,0,0,0,0,S005
P0014,03-01-22,83,83,0,319,S005
