product_id,product_name,Category,sku,unit,reorder_level
P0001,Groceries,Groceries,,127,55
P0002,Toys,Toys,,150,66
P0003,Toys,Toys,,65,51
P0004,Toys,Toys,,61,164
P0005,Electronics,Electronics,,14,135
P0006,Groceries,Groceries,,128,102
P0007,Furniture,Furniture,,97,167
P0008,Clothing,Clothing,,312,54
P0009,Electronics,Electronics,,175,135
P0010,Toys,Toys,,28,196
P0011,Furniture,Furniture,,150,153
P0012,Clothing,Clothing,,24,70
P0013,Toys,Toys,,42,85
P0014,Clothing,Clothing,,12,187
P0015,Clothing,Clothing,,369,154
P0016,Electronics,Electronics,,255,69
P0017,Toys,Toys,,246,177
P0018,Clothing,Clothing,,151,47
P0019,Clothing,Clothing,,257,186
P0020,Toys,Toys,,99,166
P0001,Groceries,Groceries,,104,144
P0002,Clothing,Clothing,,141,151
P0003,Furniture,Furniture,,182,119
P0004,Toys,Toys,,63,115
P0005,Toys,Toys,,156,25
P0006,Furniture,Furniture,,250,168
P0007,Groceries,Groceries,,393,70
P0008,Electronics,Electronics,,29,99
P0009,Clothing,Clothing,,9,84
P0010,Electronics,Electronics,,126,181
P0011,Groceries,Groceries,,13,33
P0012,Groceries,Groceries,,25,136
P0013,Clothing,Clothing,,283,177
P0014,Electronics,Electronics,,359,77
P0015,Toys,Toys,,129,94
P0016,Toys,Toys,,63,85
P0017,Groceries,Groceries,,373,92
P0018,Groceries,Groceries,,160,140
P0019,Toys,Toys,,15,186
P0020,Toys,Toys,,101,38
P0001,Toys,Toys,,147,180
P0002,Electronics,Electronics,,4,169
P0003,Groceries,Groceries,,77,145
P0004,Toys,Toys,,31,145
P0005,Clothing,Clothing,,325,20
P0006,Groceries,Groceries,,163,22
P0007,Electronics,Electronics,,34,107
P0008,Toys,Toys,,47,107
P0009,Groceries,Groceries,,15,184
P0010,Groceries,Groceries,,126,124
P0011,Toys,Toys,,232,155
P0012,Electronics,Electronics,,175,55
P0013,Furniture,Furniture,,17,172
P0014,Electronics,Electronics,,369,26
P0015,Clothing,Clothing,,260,24
P0016,Groceries,Groceries,,347,93
P0017,Clothing,Clothing,,150,168
P0018,Toys,Toys,,70,170
P0019,Clothing,Clothing,,249,37
P0020,Electronics,Electronics,,370,99
P0001,Toys,Toys,,271,66
P0002,Clothing,Clothing,,180,183
P0003,Clothing,Clothing,,344,27
P0004,Groceries,Groceries,,0,160
P0005,Groceries,Groceries,,200,172
P0006,Electronics,Electronics,,382,195
P0007,Electronics,Electronics,,190,139
P0008,Furniture,Furniture,,51,137
P0009,Furniture,Furniture,,40,73
P0010,Groceries,Groceries,,104,96
P0011,Electronics,Electronics,,46,27
P0012,Electronics,Electronics,,9,165
P0013,Furniture,Furniture,,56,65
P0014,Electronics,Electronics,,63,139
