sale_id,sale_date,product_id, quantity_sold,unit_price,Store_id
1,01-01-22,P0001,127,33.5,S001
2,02-01-22,P0002,150,63.01,S002
3,03-01-22,P0003,65,27.99,S003
4,04-01-22,P0004,61,32.72,S004
5,05-01-22,P0005,14,73.64,S005
6,06-01-22,P0006,128,76.83,S006
7,07-01-22,P0007,97,34.16,S007
8,08-01-22,P0008,312,97.99,S008
9,09-01-22,P0009,175,20.74,S009
10,10-01-22,P0010,28,59.99,S010
11,11-01-22,P0011,150,58.53,S011
12,12-01-22,P0012,24,58.25,S012
13,13-01-22,P0013,42,43.6,S013
14,14-01-22,P0014,12,78.11,S014
15,15-01-22,P0015,369,92.99,S015
16,16-01-22,P0016,255,21.9,S016
17,17-01-22,P0017,246,21.07,S017
18,18-01-22,P0018,151,19.57,S018
19,19-01-22,P0019,257,73.28,S019
20,20-01-22,P0020,99,30.24,S020
21,21-01-22,P0001,104,32.8,S021
22,22-01-22,P0002,141,46.16,S022
23,23-01-22,P0003,182,20.46,S023
24,24-01-22,P0004,63,26.19,S024
25,25-01-22,P0005,156,83.29,S025
26,26-01-22,P0006,250,85.59,S026
27,27-01-22,P0007,393,91.13,S027
28,28-01-22,P0008,29,66.96,S028
29,29-01-22,P0009,9,81.29,S029
30,30-01-22,P0010,126,60.84,S030
31,31-01-22,P0011,13,34.62,S031
32,01-02-22,P0012,25,19.56,S032
33,02-02-22,P0013,283,57.78,S033
34,03-02-22,P0014,359,91.28,S034
35,04-02-22,P0015,129,59.9,S035
36,05-02-22,P0016,63,45.65,S036
37,06-02-22,P0017,373,11.71,S037
38,07-02-22,P0018,160,58.84,S038
39,08-02-22,P0019,15,84.99,S039
40,09-02-22,P0020,101,87.1,S040
41,10-02-22,P0001,147,67.21,S041
42,11-02-22,P0002,4,28.2,S042
43,12-02-22,P0003,77,56.16,S043
44,13-02-22,P0004,31,89.53,S044
45,14-02-22,P0005,325,97.95,S045
46,15-02-22,P0006,163,76.37,S046
47,16-02-22,P0007,34,86.99,S047
48,17-02-22,P0008,47,66.53,S048
49,18-02-22,P0009,15,74.86,S049
50,19-02-22,P0010,126,97.09,S050
51,20-02-22,P0011,232,56.19,S051
52,21-02-22,P0012,175,90.38,S052
53,22-02-22,P0013,17,73.98,S053
54,23-02-22,P0014,369,79.03,S054
55,24-02-22,P0015,260,27.72,S055
56,25-02-22,P0016,347,98.18,S056
57,26-02-22,P0017,150,27.1,S057
58,27-02-22,P0018,70,97.08,S058
59,28-02-22,P0019,249,26.71,S059
60,01-03-22,P0020,370,95.85,S060
61,02-03-22,P0001,271,15.62,S061
62,03-03-22,P0002,180,41.13,S062
63,04-03-22,P0003,344,89.32,S063
64,05-03-22,P0004,0,87.23,S064
65,06-03-22,P0005,200,81.72,S065
66,07-03-22,P0006,382,41.35,S066
67,08-03-22,P0007,190,67.26,S067
68,09-03-22,P0008,51,85.88,S068
69,10-03-22,P0009,40,59.23,S069
70,11-03-22,P0010,104,33.48,S070
71,12-03-22,P0011,46,54.84,S071
72,13-03-22,P0012,9,14.25,S072
73,14-03-22,P0013,56,61.81,S073
74,15-03-22,P0014,63,66.94,S074
75,16-03-22,P0015,181,60.54,S075
76,17-03-22,P0016,94,94.26,S076
77,18-03-22,P0017,46,25.55,S077
78,19-03-22,P0018,8,16.73,S078
79,20-03-22,P0019,172,71.2,S079
80,21-03-22,P0020,68,11.5,S080
81,22-03-22,P0001,77,70.33,S081
82,23-03-22,P0002,298,57.15,S082
83,24-03-22,P0003,64,36.17,S083
84,25-03-22,P0004,300,50.77,S084
85,26-03-22,P0005,21,92.86,S085
86,27-03-22,P0006,176,60.76,S086
87,28-03-22,P0007,131,46.47,S087
88,29-03-22,P0008,317,34.08,S088
89,30-03-22,P0009,97,87.81,S089
90,31-03-22,P0010,8,37.04,S090
91,01-04-22,P0011,104,54.12,S091
92,02-04-22,P0012,87,67.64,S092
93,03-04-22,P0013,238,82.18,S093
94,04-04-22,P0014,171,42.62,S094
95,05-04-22,P0015,250,11.54,S095
96,06-04-22,P0016,11,16.3,S096
97,07-04-22,P0017,371,98.31,S097
98,08-04-22,P0018,107,48.96,S098
99,09-04-22,P0019,106,88.22,S099
100,10-04-22,P0020,101,11.04,S100
101,11-04-22,P0001,81,27.95,S101
102,12-04-22,P0002,163,19.78,S102
103,13-04-22,P0003,464,70.99,S103
104,14-04-22,P0004,116,49.56,S104
105,15-04-22,P0005,200,23.76,S105
106,16-04-22,P0006,58,47.56,S106
107,17-04-22,P0007,56,17.1,S107
108,18-04-22,P0008,74,58.89,S108
109,19-04-22,P0009,54,99.76,S109
110,20-04-22,P0010,39,11.44,S110
111,21-04-22,P0011,12,53.84,S111
112,22-04-22,P0012,56,57.84,S112
113,23-04-22,P0013,31,35.51,S113
114,24-04-22,P0014,25,31.41,S114
115,25-04-22,P0015,198,28.06,S115
116,26-04-22,P0016,77,35.67,S116
117,27-04-22,P0017,165,28.18,S117
118,28-04-22,P0018,42,74.42,S118
119,29-04-22,P0019,8,91.95,S119
120,30-04-22,P0020,174,97.88,S120
121,01-05-22,P0001,343,66.57,S121
122,02-05-22,P0002,71,90.36,S122
123,03-05-22,P0003,157,92.24,S123
124,04-05-22,P0004,88,68.71,S124
125,05-05-22,P0005,64,87.22,S125
126,06-05-22,P0006,273,79.38,S126
127,07-05-22,P0007,247,17.41,S127
128,08-05-22,P0008,42,14.8,S128
129,09-05-22,P0009,197,30.5,S129
130,10-05-22,P0010,374,27.84,S130
131,11-05-22,P0011,154,88.62,S131
132,12-05-22,P0012,236,82.35,S132
133,13-05-22,P0013,278,92.57,S133
134,14-05-22,P0014,27,94.38,S134
135,15-05-22,P0015,106,70.59,S135
136,16-05-22,P0016,154,63.13,S136
137,17-05-22,P0017,176,46.04,S137
138,18-05-22,P0018,124,21.07,S138
139,19-05-22,P0019,479,79.11,S139
140,20-05-22,P0020,78,64.99,S140
141,21-05-22,P0001,114,73.48,S141
142,22-05-22,P0002,2,87.5,S142
143,23-05-22,P0003,7,88.68,S143
144,24-05-22,P0004,54,82.36,S144
145,25-05-22,P0005,282,38.56,S145
146,26-05-22,P0006,93,97.74,S146
147,27-05-22,P0007,85,37.68,S147
148,28-05-22,P0008,136,36.03,S148
149,29-05-22,P0009,140,88.97,S149
150,30-05-22,P0010,79,16.48,S150
151,31-05-22,P0011,106,58.37,S151
152,01-06-22,P0012,1,27.86,S152
153,02-06-22,P0013,203,39.14,S153
154,03-06-22,P0014,368,66.51,S154
155,04-06-22,P0015,286,89.65,S155
156,05-06-22,P0016,69,86.7,S156
157,06-06-22,P0017,52,29.69,S157
158,07-06-22,P0018,109,86.93,S158
159,08-06-22,P0019,50,59.33,S159
160,09-06-22,P0020,0,57.07,S160
161,10-06-22,P0001,22,74.16,S161
162,11-06-22,P0002,45,59.38,S162
163,12-06-22,P0003,89,48.18,S163
164,13-06-22,P0004,209,94.75,S164
165,14-06-22,P0005,4,60.89,S165
166,15-06-22,P0006,47,14.71,S166
167,16-06-22,P0007,115,33.09,S167
168,17-06-22,P0008,27,98.75,S168
169,18-06-22,P0009,90,12.4,S169
170,19-06-22,P0010,206,92.01,S170
171,20-06-22,P0011,328,92.12,S171
172,21-06-22,P0012,155,37.39,S172
173,22-06-22,P0013,184,85.35,S173
174,23-06-22,P0014,16,82.64,S174
175,24-06-22,P0015,90,92.19,S175
176,25-06-22,P0016,178,61.41,S176
177,26-06-22,P0017,256,96.47,S177
178,27-06-22,P0018,27,89.33,S178
179,28-06-22,P0019,67,59.49,S179
180,29-06-22,P0020,84,73.05,S180
181,30-06-22,P0001,67,67.49,S181
182,01-07-22,P0002,15,66.05,S182
183,02-07-22,P0003,333,80.88,S183
184,03-07-22,P0004,56,60.5,S184
185,04-07-22,P0005,165,71.72,S185
186,05-07-22,P0006,54,69.21,S186
187,06-07-22,P0007,93,70.69,S187
188,07-07-22,P0008,250,63.54,S188
189,08-07-22,P0009,90,78.08,S189
190,09-07-22,P0010,83,43.09,S190
