date,product,qty,stock,price
2024-01-01,Milk,15,187,15.7
2024-01-02,Milk,24,163,12.14
2024-01-03,Milk,12,151,9.46
2024-01-04,Milk,19,132,7.01
2024-01-05,Milk,23,109,1.6
2024-01-06,Milk,12,97,14.58
2024-01-07,Milk,20,77,8.3
2024-01-08,Milk,16,61,1.41
2024-01-09,Milk,21,40,7.96
2024-01-10,Milk,13,27,19.67
2024-01-11,Milk,29,0,13.77
2024-01-12,Milk,19,0,9.28
2024-01-13,Milk,3,0,0.81
2024-01-14,Milk,28,0,5.0
2024-01-15,Milk,26,0,12.39
2024-01-16,Milk,11,0,16.75
2024-01-17,Milk,16,0,4.05
2024-01-18,Milk,10,0,15.23
2024-01-19,Milk,8,0,11.57
2024-01-20,Milk,17,0,1.11
2024-01-21,Milk,18,0,8.21
2024-01-22,Milk,29,0,18.57
2024-01-23,Milk,12,0,11.62
2024-01-24,Milk,29,0,10.66
2024-01-25,Milk,22,0,11.94
2024-01-26,Milk,33,0,19.32
2024-01-27,Milk,7,0,6.28
2024-01-28,Milk,25,0,3.72
2024-01-29,Milk,19,0,8.2
2024-01-30,Milk,17,0,6.22
2024-01-31,Milk,27,0,12.32
2024-02-01,Milk,25,0,18.56
2024-02-02,Milk,25,0,17.08
2024-02-03,Milk,21,0,9.26
2024-02-04,Milk,18,0,13.54
2024-02-05,Milk,13,0,13.49
2024-02-06,Milk,7,0,11.44
2024-02-07,Milk,25,0,7.97
2024-02-08,Milk,12,0,5.49
2024-02-09,Milk,26,0,1.29
2024-02-10,Milk,15,0,9.07
2024-02-11,Milk,22,0,4.43
2024-02-12,Milk,19,0,11.48
2024-02-13,Milk,27,0,14.06
2024-02-14,Milk,22,0,11.03
2024-02-15,Milk,11,0,4.46
2024-02-16,Milk,21,0,14.05
2024-02-17,Milk,24,0,17.67
2024-02-18,Milk,8,0,2.56
2024-02-19,Milk,27,0,9.4
2024-02-20,Milk,16,0,17.72
2024-02-21,Milk,8,0,6.82
2024-02-22,Milk,17,0,18.18
2024-02-23,Milk,13,0,5.81
2024-02-24,Milk,9,0,3.71
2024-02-25,Milk,11,0,10.91
2024-02-26,Milk,35,0,5.75
2024-02-27,Milk,18,0,5.26
2024-02-28,Milk,16,0,11.38
2024-02-29,Milk,15,0,8.37
2024-03-01,Milk,19,0,5.31
2024-03-02,Milk,19,0,14.08
2024-03-03,Milk,13,0,19.96
2024-03-04,Milk,23,0,5.7
2024-03-05,Milk,19,0,1.14
2024-03-06,Milk,22,0,7.23
2024-03-07,Milk,31,0,10.85
2024-03-08,Milk,28,0,9.23
2024-03-09,Milk,37,0,2.08
2024-03-10,Milk,29,0,7.71
2024-03-11,Milk,25,0,9.67
2024-03-12,Milk,15,0,19.68
2024-03-13,Milk,29,0,16.07
2024-03-14,Milk,16,0,3.44
2024-03-15,Milk,35,0,17.24
2024-03-16,Milk,20,0,6.86
2024-03-17,Milk,25,0,16.29
2024-03-18,Milk,12,0,7.3
2024-03-19,Milk,23,0,16.84
2024-03-20,Milk,0,0,13.68
2024-03-21,Milk,13,0,11.06
2024-03-22,Milk,25,0,14.07
2024-03-23,Milk,14,0,19.65
2024-03-24,Milk,15,0,10.57
2024-03-25,Milk,20,0,17.71
2024-03-26,Milk,24,0,4.18
2024-03-27,Milk,27,0,17.01
2024-03-28,Milk,11,0,17.2
2024-03-29,Milk,27,0,17.09
2024-03-30,Milk,18,0,18.74
2024-03-31,Milk,25,0,11.82
2024-04-01,Milk,28,0,7.76
2024-04-02,Milk,12,0,9.97
2024-04-03,Milk,11,0,9.24
2024-04-04,Milk,19,0,3.99
2024-04-05,Milk,16,0,7.65
2024-04-06,Milk,26,0,6.51
2024-04-07,Milk,27,0,11.08
2024-04-08,Milk,38,0,5.38
2024-04-09,Milk,21,0,12.0
2024-04-10,Milk,19,0,18.17
2024-04-11,Milk,23,0,8.97
2024-04-12,Milk,30,0,13.54
2024-04-13,Milk,9,0,17.35
2024-04-14,Milk,19,0,11.65
2024-04-15,Milk,7,0,15.49
2024-04-16,Milk,5,0,17.73
2024-04-17,Milk,18,0,15.08
2024-04-18,Milk,18,0,11.28
2024-04-19,Milk,22,0,11.66
2024-04-20,Milk,12,0,5.74
2024-04-21,Milk,15,0,9.96
2024-04-22,Milk,9,0,16.96
2024-04-23,Milk,7,0,18.64
2024-04-24,Milk,10,0,5.46
2024-04-25,Milk,31,0,6.26
2024-04-26,Milk,27,0,3.16
2024-04-27,Milk,16,0,14.32
2024-04-28,Milk,5,0,8.69
2024-04-29,Milk,23,0,5.5
2024-04-30,Milk,14,0,0.6
2024-05-01,Milk,21,0,12.74
2024-05-02,Milk,15,0,17.79
2024-05-03,Milk,18,0,1.04
2024-05-04,Milk,7,0,13.6
2024-05-05,Milk,36,0,6.9
2024-05-06,Milk,21,0,5.38
2024-05-07,Milk,21,0,1.26
2024-05-08,Milk,22,0,6.87
2024-05-09,Milk,4,0,16.64
2024-05-10,Milk,29,0,4.29
2024-05-11,Milk,18,0,8.52
2024-05-12,Milk,13,0,3.09
2024-05-13,Milk,23,0,19.41
2024-05-14,Milk,9,0,15.01
2024-05-15,Milk,4,0,5.39
2024-05-16,Milk,34,0,1.63
2024-05-17,Milk,14,0,18.35
2024-05-18,Milk,7,0,2.33
2024-05-19,Milk,17,0,4.07
2024-05-20,Milk,21,0,10.58
2024-05-21,Milk,24,0,13.31
2024-05-22,Milk,33,0,1.43
2024-05-23,Milk,16,0,11.54
2024-05-24,Milk,14,0,2.34
2024-05-25,Milk,17,0,6.57
2024-05-26,Milk,15,0,9.56
2024-05-27,Milk,28,0,13.17
2024-05-28,Milk,17,0,0.8
2024-05-29,Milk,24,0,18.7
2024-05-30,Milk,45,0,13.84
2024-05-31,Milk,20,0,12.51
2024-06-01,Milk,22,0,16.12
2024-06-02,Milk,27,0,13.7
2024-06-03,Milk,11,0,16.32
2024-06-04,Milk,21,0,16.5
2024-06-05,Milk,29,0,13.2
2024-06-06,Milk,23,0,4.53
2024-06-07,Milk,12,0,7.86
2024-06-08,Milk,14,0,1.26
2024-06-09,Milk,7,0,13.29
2024-06-10,Milk,28,0,8.02
2024-06-11,Milk,11,0,5.58
2024-06-12,Milk,30,0,10.17
2024-06-13,Milk,11,0,18.76
2024-06-14,Milk,30,0,1.26
2024-06-15,Milk,23,0,11.19
2024-06-16,Milk,19,0,8.76
2024-06-17,Milk,34,0,14.77
2024-06-18,Milk,33,0,2.99
2024-06-19,Milk,23,0,17.41
2024-06-20,Milk,7,0,11.46
2024-06-21,Milk,26,0,14.93
2024-06-22,Milk,11,0,5.15
2024-06-23,Milk,25,0,10.18
2024-06-24,Milk,1,0,8.1
2024-06-25,Milk,15,0,1.54
2024-06-26,Milk,17,0,19.19
2024-06-27,Milk,16,0,19.16
2024-06-28,Milk,27,0,13.7
2024-06-29,Milk,9,0,2.12
2024-06-30,Milk,0,0,2.29
2024-07-01,Milk,28,0,4.65
2024-07-02,Milk,37,0,18.95
2024-07-03,Milk,17,0,18.65
2024-07-04,Milk,21,0,19.5
2024-07-05,Milk,22,0,14.26
2024-07-06,Milk,33,0,19.39
2024-07-07,Milk,27,0,17.4
2024-07-08,Milk,23,0,16.85
2024-07-09,Milk,8,0,8.23
2024-07-10,Milk,16,0,17.89
2024-07-11,Milk,20,0,5.05
2024-07-12,Milk,10,0,11.84
2024-07-13,Milk,22,0,12.04
2024-07-14,Milk,18,0,7.33
2024-07-15,Milk,18,0,7.87
2024-07-16,Milk,34,0,14.25
2024-07-17,Milk,13,0,8.97
2024-07-18,Milk,10,0,5.45
2024-07-19,Milk,31,0,14.95
2024-07-20,Milk,4,0,15.46
2024-07-21,Milk,24,0,13.78
2024-07-22,Milk,25,0,5.13
2024-07-23,Milk,15,0,2.12
2024-07-24,Milk,0,0,10.8
2024-07-25,Milk,30,0,19.57
2024-07-26,Milk,17,0,11.34
